skill,role,count,percentage,category
Computer Vision,Machine Learning Engineer,5,4.59,DS/ML Concepts
LLM,Machine Learning Engineer,5,4.59,DS/ML Concepts
Data Pipeline,Machine Learning Engineer,4,3.67,Data Engineering
Azure,Machine Learning Engineer,3,2.75,Cloud Platforms
Databricks,Machine Learning Engineer,3,2.75,Data Engineering
Large Language Models,Machine Learning Engineer,2,1.83,DS/ML Concepts
Model Deployment,Machine Learning Engineer,2,1.83,DS/ML Concepts
Feature Engineering,Machine Learning Engineer,2,1.83,DS/ML Concepts
Recommendation Systems,Machine Learning Engineer,2,1.83,DS/ML Concepts
Redis,Machine Learning Engineer,2,1.83,Databases
Deep Learning,Machine Learning Engineer,2,1.83,DS/ML Concepts
TensorFlow,Machine Learning Engineer,1,0.92,ML/DL Frameworks
JavaScript,Machine Learning Engineer,1,0.92,Programming Languages
Python,Machine Learning Engineer,1,0.92,Programming Languages
ETL,Machine Learning Engineer,1,0.92,Data Engineering
Delta Lake,Machine Learning Engineer,1,0.92,Big Data
Docker,Machine Learning Engineer,1,0.92,DevOps & MLOps
Snowflake,Machine Learning Engineer,1,0.92,Data Engineering
Apache Flink,Machine Learning Engineer,1,0.92,Data Engineering
Kafka,Machine Learning Engineer,1,0.92,Data Engineering
PyTorch,Machine Learning Engineer,1,0.92,ML/DL Frameworks
S3,Machine Learning Engineer,1,0.92,Cloud Platforms
SageMaker,Machine Learning Engineer,1,0.92,Cloud Platforms
NLP,Machine Learning Engineer,1,0.92,DS/ML Concepts
Apache Spark,Machine Learning Engineer,1,0.92,Data Engineering
Agile,Machine Learning Engineer,1,0.92,Methodologies
Neural Networks,Machine Learning Engineer,1,0.92,DS/ML Concepts
Generative AI,Machine Learning Engineer,1,0.92,DS/ML Concepts
Machine Learning,Machine Learning Operations (MLOps) Intern,48,100.0,DS/ML Concepts
Machine Learning,Senior AI Engineer,8,19.05,DS/ML Concepts
LLM,Senior AI Engineer,8,19.05,DS/ML Concepts
Generative AI,Senior AI Engineer,3,7.14,DS/ML Concepts
Large Language Models,Senior AI Engineer,3,7.14,DS/ML Concepts
NLP,Senior AI Engineer,3,7.14,DS/ML Concepts
Data Pipeline,Senior AI Engineer,1,2.38,Data Engineering
Python,Senior AI Engineer,1,2.38,Programming Languages
Databricks,Senior AI Engineer,1,2.38,Data Engineering
Natural Language Processing,Senior AI Engineer,1,2.38,DS/ML Concepts
Machine Learning,Senior Data Scientist,14,13.33,DS/ML Concepts
MySQL,Senior Data Scientist,13,12.38,Databases
PostgreSQL,Senior Data Scientist,13,12.38,Databases
Data Pipeline,Senior Data Scientist,2,1.9,Data Engineering
AWS,Senior Data Scientist,1,0.95,Cloud Platforms
LLM,Senior Data Scientist,1,0.95,DS/ML Concepts
Statistical Analysis,Senior Data Scientist,1,0.95,DS/ML Concepts
Cybersecurity,Senior Data Scientist,1,0.95,Security
MongoDB,Senior Data Scientist,1,0.95,Databases
Looker,Senior Data Scientist,1,0.95,Visualization & BI
Machine Learning,Senior Machine Learning Engineer,41,57.75,DS/ML Concepts
LLM,Senior Machine Learning Engineer,7,9.86,DS/ML Concepts
NLP,Senior Machine Learning Engineer,3,4.23,DS/ML Concepts
Large Language Models,Senior Machine Learning Engineer,3,4.23,DS/ML Concepts
Agile,Senior Machine Learning Engineer,3,4.23,Methodologies
Python,Senior Machine Learning Engineer,2,2.82,Programming Languages
Model Deployment,Senior Machine Learning Engineer,2,2.82,DS/ML Concepts
AWS,Senior Machine Learning Engineer,2,2.82,Cloud Platforms
Snowflake,Senior Machine Learning Engineer,2,2.82,Data Engineering
TensorFlow,Senior Machine Learning Engineer,1,1.41,ML/DL Frameworks
Computer Vision,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
Feature Engineering,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
Generative AI,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
SQL,Senior Machine Learning Engineer,1,1.41,Programming Languages
Databricks,Senior Machine Learning Engineer,1,1.41,Data Engineering
Natural Language Processing,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
Data Pipeline,Senior Machine Learning Engineer,1,1.41,Data Engineering
Deep Learning,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
Data Warehousing,Senior Machine Learning Engineer,1,1.41,Data Engineering
RAG,Senior Machine Learning Engineer,1,1.41,DS/ML Concepts
Slack API,Senior Machine Learning Engineer,1,1.41,Misc Tools
